Outcome,Amount,MonthlyCost,FirstCash,CreditScore,LoanProduct,LoanType
O_Cancelled,10000.0,201.76,10000.0,0,Car,New credit
O_Cancelled,10000.0,201.76,4100.0,0,Car,New credit
O_Cancelled,6000.0,120.0,0.0,0,Car,New credit
O_Accepted,6900.0,150.73,6900.0,1021,Car,New credit
O_Cancelled,27000.0,400.0,0.0,0,Unknown,New credit
O_Accepted,27000.0,402.36,27000.0,809,Unknown,New credit
O_Refused,6000.0,200.0,500.0,0,Home improvement,New credit
O_Cancelled,15000.0,158.98,15000.0,0,Home improvement,New credit
O_Accepted,15000.0,158.98,15000.0,1059,Home improvement,New credit
O_Accepted,20000.0,498.29,20000.0,979,Existing loan takeover,New credit
O_Cancelled,35000.0,366.08,35000.0,0,Home improvement,New credit
O_Cancelled,13000.0,143.91,400.0,0,Existing loan takeover,New credit
O_Cancelled,6600.0,129.73,2093.96,0,Caravan / Camper,New credit
O_Accepted,9000.0,150.0,1500.0,0,Existing loan takeover,Limit raise
O_Cancelled,6600.0,129.73,2093.96,0,Caravan / Camper,New credit
O_Accepted,10000.0,140.0,0.0,1018,Caravan / Camper,New credit
O_Cancelled,7000.0,195.73,0.0,0,Existing loan takeover,New credit
O_Refused,15000.0,211.9,328.0,0,Home improvement,New credit
O_Accepted,10000.0,110.7,5185.0,860,Car,New credit
O_Accepted,15000.0,282.96,14007.0,799,Car,New credit
O_Cancelled,9000.0,120.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,15400.0,247.91,0.0,0,Existing loan takeover,New credit
O_Cancelled,15400.0,299.33,0.0,0,Existing loan takeover,New credit
O_Cancelled,40000.0,400.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,40000.0,418.37,40000.0,0,Home improvement,New credit
O_Accepted,6000.0,78.44,6000.0,770,Home improvement,New credit
O_Cancelled,21500.0,227.88,0.0,0,Existing loan takeover,New credit
O_Cancelled,21500.0,215.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,15000.0,150.0,0.0,0,Car,New credit
O_Accepted,15000.0,200.0,0.0,0,Car,Limit raise
O_Cancelled,11000.0,220.0,0.0,0,Car,New credit
O_Cancelled,40000.0,400.0,0.0,0,Remaining debt home,New credit
O_Accepted,5000.0,119.02,5000.0,943,Unknown,New credit
O_Accepted,15000.0,150.0,12150.0,1004,Existing loan takeover,New credit
O_Cancelled,6800.0,398.1,0.0,0,Unknown,New credit
O_Cancelled,5000.0,153.68,5000.0,0,Not speficied,New credit
O_Refused,14200.0,284.0,6000.0,0,Home improvement,New credit
O_Accepted,17000.0,273.66,17000.0,919,Home improvement,New credit
O_Cancelled,15000.0,274.92,15000.0,0,Home improvement,New credit
O_Refused,5000.0,50.0,0.0,0,Car,New credit
O_Accepted,6800.0,398.1,170.0,1063,Unknown,New credit
O_Refused,25000.0,250.0,4000.0,0,Caravan / Camper,Limit raise
O_Cancelled,6000.0,150.0,0.0,0,Car,New credit
O_Cancelled,6000.0,148.24,6000.0,0,Car,New credit
O_Cancelled,6000.0,200.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,7500.0,200.0,0.0,0,Car,New credit
O_Accepted,6000.0,200.0,590.0,871,"Other, see explanation",New credit
O_Refused,12500.0,241.29,3500.0,0,Existing loan takeover,New credit
O_Cancelled,11000.0,121.77,11000.0,0,Remaining debt home,New credit
O_Refused,12500.0,330.34,3500.0,0,Existing loan takeover,New credit
O_Accepted,5000.0,119.02,5000.0,1063,Car,New credit
O_Accepted,25000.0,468.32,14871.0,953,Car,New credit
O_Cancelled,15000.0,282.96,13164.0,0,Car,New credit
O_Accepted,10000.0,100.0,4000.0,0,Existing loan takeover,Limit raise
O_Accepted,23600.0,250.14,5163.0,837,Home improvement,New credit
O_Accepted,15000.0,200.0,0.0,859,"Other, see explanation",Limit raise
O_Cancelled,25000.0,250.0,0.0,0,Unknown,New credit
O_Accepted,15000.0,150.0,2500.0,0,Home improvement,Limit raise
O_Accepted,30000.0,450.0,0.0,844,Car,Limit raise
O_Cancelled,10000.0,200.0,0.0,0,Home improvement,Limit raise
O_Cancelled,6000.0,250.0,0.0,0,Car,New credit
O_Accepted,10000.0,250.0,6000.0,1030,Car,New credit
O_Accepted,34000.0,400.0,0.0,0,Remaining debt home,Limit raise
O_Accepted,15000.0,200.0,4500.0,0,Car,Limit raise
O_Cancelled,6000.0,250.0,0.0,0,Car,New credit
O_Cancelled,11000.0,248.87,11000.0,0,Car,New credit
O_Cancelled,13000.0,150.45,13000.0,0,Car,New credit
O_Accepted,26800.0,403.81,0.0,869,Unknown,New credit
O_Accepted,20000.0,200.0,20000.0,812,Car,New credit
O_Cancelled,17000.0,255.61,17000.0,0,Car,New credit
O_Cancelled,7500.0,150.0,0.0,0,Tax payments,New credit
O_Cancelled,15000.0,200.0,0.0,0,Not speficied,New credit
O_Cancelled,24000.0,240.0,0.0,0,Car,Limit raise
O_Cancelled,8000.0,125.0,0.0,0,Home improvement,New credit
O_Cancelled,22000.0,220.0,0.0,0,Extra spending limit,Limit raise
O_Cancelled,15000.0,300.0,0.0,0,Car,New credit
O_Cancelled,15000.0,300.0,0.0,0,Home improvement,Limit raise
O_Cancelled,12000.0,298.1,12000.0,0,Car,New credit
O_Cancelled,6800.0,136.0,0.0,0,Car,New credit
O_Cancelled,8300.0,168.0,0.0,0,Existing loan takeover,New credit
O_Cancelled,10500.0,200.0,0.0,0,Home improvement,New credit
O_Cancelled,25000.0,250.0,0.0,0,"Other, see explanation",New credit
O_Cancelled,5500.0,245.48,5500.0,0,Car,New credit
O_Cancelled,30000.0,300.0,0.0,0,Home improvement,Limit raise
O_Cancelled,15000.0,150.0,0.0,0,Car,New credit
O_Cancelled,5500.0,475.11,5500.0,0,"Other, see explanation",New credit
O_Cancelled,11000.0,121.77,10000.0,0,Home improvement,New credit
